action_id,hero_BBs,at_preflop,at_flop,at_turn,at_river,equity_preflop,equity_flop,equity_turn,equity_river,nb_players,action_fold,action_call,action_raise,amount,winnings
9930,25,1,0,0,0,0.2,0.35,0.42,0.35,3,0,0,1,3,1.5
9931,26.5,1,0,0,0,0,0.2,0.18,0.22,4,1,0,0,0,0
9932,26.5,1,0,0,0,0,0.24,0.15,0.18,5,0,0,1,3,1.5
9933,28,1,0,0,0,0.6,0.29,0.26,0.26,6,0,0,1,1.5,-28
9934,26.5,1,0,0,0,0.82,0.66,0.71,0.61,2,0,0,1,28,-28
9935,50,1,0,0,0,0.06,0.2,0.2,0.19,4,0,0,1,50,1.5
9936,51.5,1,0,0,0,0.01,0.22,0.18,0.17,5,0,0,1,3,1.5
9937,53,1,0,0,0,0.09,0.2,0.25,0.18,6,1,0,0,0,0
9938,53,1,0,0,0,0.63,0.55,0.5,0.6,2,1,0,0,0,0
9939,53,1,0,0,0,0.24,0.27,0.29,0.27,3,0,0,1,3,1.5
9940,54.5,1,0,0,0,0,0.14,0.18,0.15,4,1,0,0,0,0
9941,54.5,1,0,0,0,0.2,0.18,0.26,0.15,5,1,0,0,0,0
9942,54.5,1,0,0,0,0,0.13,0.19,0.18,6,0,0,1,3,1.5
9943,55,1,0,0,0,0.73,0.62,0.59,0.61,2,1,0,0,0,0
9944,54.5,1,0,0,0,0.72,0.65,0.6,0.5,2,1,0,0,0,0
9945,54.5,1,0,0,0,0.52,0.42,0.44,0.41,3,0,0,1,1.5,1.5
9946,56,1,0,0,0,0.19,0.25,0.17,0.18,4,0,0,1,3,1.5
9947,57.5,1,0,0,0,0,0.07,0.1,0.11,5,1,0,0,0,0
9948,57.5,1,0,0,0,0,0.09,0.09,0.13,6,0,0,1,3,1.5
9949,58,1,0,0,0,0.92,0.69,0.7,0.62,2,1,0,0,0,0
9950,57.5,1,0,0,0,0.74,0.66,0.61,0.57,2,0,0,1,3,1.5
9951,59,1,0,0,0,0.79,0.47,0.47,0.53,3,0,0,1,59,1.5
9952,60.5,1,0,0,0,0.12,0.28,0.21,0.26,4,0,0,1,1.5,1.5
9953,62,1,0,0,0,0,0.12,0.1,0.09,5,0,0,1,62,1.5
9954,63.5,1,0,0,0,0.06,0.13,0.08,0.17,6,1,0,0,0,0
9955,63.5,1,0,0,0,0,0.14,0.17,0.23,3,1,0,0,0,0
9956,63.5,1,0,0,0,0.07,0.28,0.23,0.28,3,1,0,0,0,0
9957,63.5,1,0,0,0,0.56,0.29,0.28,0.25,4,1,0,0,0,0
9958,63.5,1,0,0,0,0.15,0.21,0.2,0.16,5,0,0,1,1.5,1.5
9959,65,1,0,0,0,0.26,0.24,0.22,0.23,6,1,0,0,0,0
9960,64,1,0,0,0,0.96,0.87,0.87,0.75,2,1,0,0,0,0
9961,63.5,1,0,0,0,0.43,0.4,0.45,0.49,2,1,0,0,0,0
9962,63.5,1,0,0,0,0,0.13,0.1,0.12,4,0,0,1,63.5,-45.5
9963,18,1,0,0,0,0.08,0.23,0.3,0.33,4,0,0,1,1.5,1.5
9964,19.5,1,0,0,0,0.71,0.3,0.36,0.25,5,0,0,1,1.5,1.5
